Alice:01.txt,Alice:02.txt,Alice:03.txt,Alice:04.txt,Alice:05.txt,Alice:06.txt,Alice:07.txt,Alice:08.txt,Alice:09.txt,Alice:10.txt,Emma:01.txt,Emma:02.txt,Emma:03.txt,Emma:04.txt,Emma:05.txt,Emma:06.txt,Emma:07.txt,Emma:08.txt,Emma:09.txt,Emma:10.txt,Robinson:01.txt,Robinson:02.txt,Robinson:03.txt,Robinson:04.txt,Robinson:05.txt,Robinson:06.txt,Robinson:07.txt,Robinson:08.txt,Robinson:09.txt,Robinson:10.txt
0.856541679,0.859642699,0.859241005,0.867597471,0.852425589,0.857526882,0.864420626,0.865908678,0.847130889,0.89412706,0.610262854,0,0.66896645,0.671637412,0.712447399,0.724643083,0.719099071,0.688236949,0.700917179,0.725040061,0.781106422,0.829475226,0.803624206,0.841250056,0.848789344,0.827139215,0.838899603,0.814942934,0.832399858,0.840900171
0.800529349,0.811881227,0.823910671,0.839800291,0.806940267,0.828367197,0.817266769,0.828060597,0.828750697,0.86407225,0.645937572,0.66896645,0,0.639464468,0.693309023,0.682522441,0.713440534,0.659588211,0.65912025,0.70226291,0.799981199,0.825674205,0.803583505,0.807508431,0.820678813,0.822478908,0.82868083,0.807590968,0.796759983,0.829156266
0.755281361,0.759231733,0.771408906,0.763606053,0.739093065,0.752381815,0.769484573,0.786440034,0.751613507,0.811478562,0.536683688,0.671637412,0.639464468,0,0.591591873,0.603613917,0.576132946,0.511601444,0.561310166,0.614680585,0.741762085,0.769563378,0.754964045,0.767778933,0.783657826,0.776788097,0.778698356,0.772129883,0.742668036,0.784587907
0.741930635,0.717830524,0.774063907,0.764319128,0.70351023,0.780340026,0.73023883,0.811348,0.766123648,0.816487123,0.582492816,0.712447399,0.693309023,0.591591873,0,0.600220346,0.584548023,0.56042997,0.574076211,0.622774601,0.72677732,0.740527955,0.738400615,0.739548149,0.759043212,0.737908248,0.751578078,0.742741193,0.726268547,0.746201206
0.742467203,0.756449292,0.749916523,0.750337015,0.739342463,0.738343725,0.728906357,0.802605677,0.759486003,0.803797629,0.599946456,0.724643083,0.682522441,0.603613917,0.600220346,0,0.619584727,0.581888389,0.56174505,0.62726192,0.748898325,0.769852127,0.774889282,0.767237606,0.775123441,0.78280765,0.781004521,0.759470109,0.747907665,0.763700393
0.736608577,0.707653943,0.73536456,0.745369082,0.726304322,0.754004295,0.737601966,0.795425644,0.735363929,0.801550719,0.59924636,0.719099071,0.713440534,0.576132946,0.584548023,0.619584727,0,0.542433403,0.576754179,0.616735516,0.71237796,0.748928867,0.731188845,0.74806613,0.766068173,0.746763942,0.769397689,0.741203028,0.736967886,0.760612268
0.753534155,0.745140248,0.73842059,0.75827401,0.723110834,0.740356115,0.748197047,0.78473528,0.732675809,0.795136905,0.54207946,0.688236949,0.659588211,0.511601444,0.56042997,0.581888389,0.542433403,0,0.532632816,0.602418688,0.693039523,0.731567701,0.709814092,0.752106042,0.774958338,0.744204085,0.770567244,0.738573496,0.73965602,0.75413793
0.722553039,0.721776328,0.722534259,0.733970027,0.728551087,0.739636936,0.720481537,0.768075267,0.718138786,0.791440238,0.564408316,0.700917179,0.65912025,0.561310166,0.574076211,0.56174505,0.576754179,0.532632816,0,0.581640419,0.717345335,0.735413479,0.716612542,0.741876048,0.771365515,0.73554328,0.771781229,0.739206051,0.735975817,0.761069399
0.737668008,0.74094204,0.747103543,0.736867798,0.734562245,0.754914353,0.747613,0.784953022,0.755270376,0.809159063,0.613135809,0.725040061,0.70226291,0.614680585,0.622774601,0.62726192,0.616735516,0.602418688,0.581640419,0,0.720484683,0.739232556,0.723505753,0.741090129,0.765059319,0.752019242,0.762083001,0.735257501,0.728435393,0.739276395
0.771162498,0.735089391,0.779922038,0.767494795,0.724831075,0.77056093,0.765843733,0.81884535,0.763378741,0.800685252,0.711002824,0.781106422,0.799981199,0.741762085,0.72677732,0.748898325,0.71237796,0.693039523,0.717345335,0.720484683,0,0.568614371,0.537230592,0.598211687,0.629853408,0.573848496,0.664711938,0.614917369,0.605273149,0.624598083
0.764397651,0.717938682,0.789997286,0.745306286,0.739503308,0.767870539,0.754739715,0.808957547,0.774606798,0.801843414,0.757457736,0.829475226,0.825674205,0.769563378,0.740527955,0.769852127,0.748928867,0.731567701,0.735413479,0.739232556,0.568614371,0,0.474325554,0.542184475,0.586319095,0.609257245,0.633326713,0.617796751,0.594120812,0.556809991
0.774926058,0.731462868,0.78738325,0.747595272,0.74315655,0.768572114,0.760212616,0.817405009,0.775816114,0.801343471,0.738161387,0.803624206,0.803583505,0.754964045,0.738400615,0.774889282,0.731188845,0.709814092,0.716612542,0.723505753,0.537230592,0.474325554,0,0.51137144,0.577262522,0.548865693,0.616304135,0.591325808,0.542769459,0.54494231
0.74835711,0.719267007,0.795786974,0.746294406,0.725698839,0.760808482,0.746775958,0.815725748,0.776508852,0.825197568,0.746505398,0.841250056,0.807508431,0.767778933,0.739548149,0.767237606,0.74806613,0.752106042,0.741876048,0.741090129,0.598211687,0.542184475,0.51137144,0,0.432049237,0.495182164,0.485034188,0.481331935,0.453058964,0.455359999
0.764026683,0.732895987,0.796658858,0.751819238,0.731696887,0.759488817,0.753915684,0.815355829,0.777232447,0.822130276,0.760089086,0.848789344,0.820678813,0.783657826,0.759043212,0.775123441,0.766068173,0.774958338,0.771365515,0.765059319,0.629853408,0.586319095,0.577262522,0.432049237,0,0.498587447,0.484405655,0.502294965,0.510890904,0.515272344
0.754468842,0.726463176,0.787277489,0.755882545,0.726999379,0.761757913,0.754652283,0.815700896,0.772197473,0.820600406,0.743128568,0.827139215,0.822478908,0.776788097,0.737908248,0.78280765,0.746763942,0.744204085,0.73554328,0.752019242,0.573848496,0.609257245,0.548865693,0.495182164,0.498587447,0,0.56172984,0.535086915,0.515459855,0.570550116
0.766368861,0.755699077,0.80156295,0.774023597,0.730383252,0.775004383,0.772869681,0.827034963,0.793345726,0.833237938,0.75196614,0.838899603,0.82868083,0.778698356,0.751578078,0.781004521,0.769397689,0.770567244,0.771781229,0.762083001,0.664711938,0.633326713,0.616304135,0.485034188,0.484405655,0.56172984,0,0.487821018,0.514543544,0.506706302
0.769964029,0.734803748,0.789979583,0.759258016,0.729906375,0.763672668,0.758124559,0.81357265,0.771219683,0.82448448,0.732299075,0.814942934,0.807590968,0.772129883,0.742741193,0.759470109,0.741203028,0.738573496,0.739206051,0.735257501,0.614917369,0.617796751,0.591325808,0.481331935,0.502294965,0.535086915,0.487821018,0,0.470575402,0.493792117
0.758252993,0.719200266,0.79039601,0.752379826,0.720421318,0.752996325,0.743069139,0.807248697,0.773624599,0.818337956,0.730365401,0.832399858,0.796759983,0.742668036,0.726268547,0.747907665,0.736967886,0.73965602,0.735975817,0.728435393,0.605273149,0.594120812,0.542769459,0.453058964,0.510890904,0.515459855,0.514543544,0.470575402,0,0.488979897
0.750272383,0.71240795,0.783684875,0.753780168,0.73517968,0.771497829,0.749862527,0.805997292,0.770779106,0.810635683,0.754385673,0.840900171,0.829156266,0.784587907,0.746201206,0.763700393,0.760612268,0.75413793,0.761069399,0.739276395,0.624598083,0.556809991,0.54494231,0.455359999,0.515272344,0.570550116,0.506706302,0.493792117,0.488979897,0
